Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
75.64190000000002,1526,,,,-0.8125,0.095703125,-1.2109375,0.27175053478512445,0.1451659894244429,13.957499504089355,4.064364430232701,129,0,56.72836451941134,3.6755838244403094,6.479269860111331,0.03949467522932842,0.002558966588482732,4.0703125,,
75.66421500000003,1525,,,,0.236328125,-0.349609375,-0.49609375,0.27188328043692467,0.14386213347560187,13.960000991821289,4.04072173056191,129,0,56.4084793663181,3.6773900704193987,6.519215039530376,0.03912071624732339,0.0025503636171675097,4.083984375,,
75.68871500000003,1525,,,,-0.484375,-0.45703125,-1.17578125,0.2721756287860568,0.14214494174916434,13.960573196411133,4.1545420021969655,129,0,57.9997877192352,3.681346158229142,6.347171779403342,0.03861221836784322,0.0024507838276453383,4.078125,,
75.71095500000001,1524,,,,-0.037109375,0.275390625,-1.033203125,0.27217579985004103,0.14311611280384232,13.956500053405762,4.013835743709264,140,0,56.0190987714403,3.984973027089934,7.11359717397231,0.035913947680683365,0.002554773567274986,4.072265625,,
75.73339500000002,1523,,,,0.173828125,-0.025390625,-1.14453125,0.2718812276691133,0.1437926841037564,13.96399974822998,4.023983244987187,205,0,56.190901019882745,5.846523474515872,10.404751246909392,0.024594562004330838,0.0025590029968175164,4.076171875,,
75.75571500000002,1523,,,,-0.640625,0.041015625,-0.68359375,0.2717454028655961,0.1411054414737997,13.961715698242188,3.99385454306191,217,0,55.76106167036335,6.169597113322064,11.064346568209562,0.022871094964873717,0.002530537210857955,4.0625,,
75.77711000000005,1522,,,,0.111328125,-0.0078125,-0.76953125,0.2716352376597207,0.13902308046959397,13.95714282989502,4.056622934289632,219,0,56.61886570090824,6.223907518740689,10.99263901120656,0.022336945086504616,0.002455419739490893,4.064453125,,
75.79901500000001,1521,,,,-0.390625,-0.427734375,-1.421875,0.27170742666108627,0.1410404727065894,13.961715698242188,3.987159148832021,219,0,55.667582479637986,6.235687790126433,11.201650066997816,0.022618270422376244,0.002533619503921856,4.06640625,,
75.82209500000003,1520,,,,-0.423828125,0.4296875,-0.951171875,0.27162257892488406,0.1409900659044435,13.957715034484863,4.043232431884466,489,0,56.434286102430605,13.906522060565402,24.6419739151559,0.010138413133809188,0.0024983051198440003,4.04296875,,
75.84562,1520,,,,0.13671875,0.060546875,-0.890625,0.2716160784934815,0.14003569711714747,13.958285331726074,3.96456255087441,535,0,55.33849530058078,15.228918068780345,27.519573826613453,0.009195380557219234,0.0025305295410820066,4.046875,,
75.868195,1519,,,,-0.140625,-0.587890625,-1.06640625,0.2716559364018184,0.13820761042598895,13.963000297546387,4.010906544490514,544,0,56.0042892741518,15.465397854986552,27.61466676111261,0.008936569994636528,0.0024678040238924562,4.06640625,,
75.89000500000006,1518,,,,-0.13671875,0.34765625,-1.275390625,0.27146896346700194,0.13970189207182562,13.958857536315918,3.98213774618691,582,0,55.58609348900923,16.54185303312536,29.758977461505008,0.008445359283030146,0.002513252565580062,4.068359375,,
75.91376000000001,1518,,,,0.59375,-0.763671875,-0.849609375,0.27171101900475614,0.13855821773869276,13.958287239074707,3.9436396584469655,616,0,55.04645512000921,17.536368607027118,31.85739857143444,0.007901192136390777,0.0025171142707848464,4.078125,,
75.937065,1517,,,,-0.298828125,0.29296875,-1.17578125,0.2717120453886618,0.1370348121627273,13.961000442504883,4.018961842342076,622,0,56.10872805934796,17.70877451407362,31.561532628831817,0.007738243662983127,0.0024423082985909304,4.068359375,,
